City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
204,Sorland,NO,67.667,12.6934,36.34,84,100,26.51,overcast clouds,2022-08-10 22:36
205,Torbay,CA,47.6666,-52.7314,33.01,93,90,23.02,snow,2022-08-10 22:46
206,Lahaina,US,20.8783,-156.6825,78.8,53,20,12.66,few clouds,2022-08-10 22:44
207,Pacific Grove,US,36.6177,-121.9166,62.01,55,1,11.5,clear sky,2022-08-10 22:35
208,Vytegra,RU,61.0064,36.4481,34.68,84,86,10.69,overcast clouds,2022-08-10 22:46
209,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,75,2.3,broken clouds,2022-08-10 22:41
210,Mayumba,GA,-3.432,10.6554,77.88,89,98,3.2,overcast clouds,2022-08-10 22:46
211,Kenai,US,60.5544,-151.2583,23,35,1,9.22,clear sky,2022-08-10 22:46
212,Kodiak,US,57.79,-152.4072,35.6,64,90,12.66,overcast clouds,2022-08-10 22:46
213,Reconquista,AR,-29.15,-59.65,80.82,70,51,3.91,broken clouds,2022-08-10 22:46
214,Narva-Joesuu,EE,59.4589,28.0408,33.51,79,3,13.22,clear sky,2022-08-10 22:46
215,Tautira,PF,-17.7333,-149.15,87.8,62,75,3.44,light rain,2022-08-10 22:46
216,East London,ZA,-33.0153,27.9116,70.14,91,77,3.18,broken clouds,2022-08-10 22:46
217,Patti,IN,31.2808,74.8572,75.2,59,20,3.42,haze,2022-08-10 22:46
218,Lompoc,US,34.6391,-120.4579,62.01,55,39,18.41,scattered clouds,2022-08-10 22:46
219,Poum,NC,-20.2333,164.0167,79.12,80,95,12.75,overcast clouds,2022-08-10 22:36
220,Kutum,SD,14.2,24.6667,70.74,11,47,11.14,scattered clouds,2022-08-10 22:46
221,Masterton,NZ,-40.9597,175.6575,70,95,53,3,broken clouds,2022-08-10 22:46
222,Mogadishu,SO,2.0371,45.3438,82.17,74,48,10.36,scattered clouds,2022-08-10 22:42
223,Tessalit,ML,20.1986,1.0114,85.28,11,0,5.7,clear sky,2022-08-10 22:46
224,Kununurra,AU,-15.7667,128.7333,68,100,98,1.14,overcast clouds,2022-08-10 22:42
225,Chipinge,ZW,-20.1883,32.6236,56.57,91,3,3.6,clear sky,2022-08-10 22:46
226,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,51,0,6.71,clear sky,2022-08-10 22:46
227,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,86,69,87,1.99,overcast clouds,2022-08-10 22:46
228,Avarua,CK,-21.2078,-159.775,82.4,78,40,8.05,scattered clouds,2022-08-10 22:46
229,Port Hardy,CA,50.6996,-127.4199,44.6,53,40,8.05,scattered clouds,2022-08-10 22:36
230,Olafsvik,IS,64.8945,-23.7142,39.06,93,100,13.13,overcast clouds,2022-08-10 22:46
231,Springbok,ZA,-29.6643,17.8865,69.75,35,6,1.86,clear sky,2022-08-10 22:46
232,Puerto Carreno,CO,6.189,-67.4859,74.71,91,100,5.17,overcast clouds,2022-08-10 22:46
233,Vestmanna,FO,62.1564,-7.1664,28.4,80,98,9.22,light snow,2022-08-10 22:46
234,Ilulissat,GL,69.2167,-51.1,21.2,79,90,3.44,overcast clouds,2022-08-10 22:46
235,Kendari,ID,-3.945,122.4989,75.6,90,100,3.56,overcast clouds,2022-08-10 22:46
236,Eyl,SO,7.9803,49.8164,78.31,70,2,8.16,clear sky,2022-08-10 22:46
237,Makakilo City,US,21.3469,-158.0858,78.8,50,20,9.22,few clouds,2022-08-10 22:46
238,Saint-Augustin,CA,51.226,-58.6502,34.18,87,100,12.97,overcast clouds,2022-08-10 22:46
239,Pyapon,MM,16.2833,95.6833,78.87,75,18,4.72,few clouds,2022-08-10 22:46
240,Maragogi,BR,-9.0122,-35.2225,77.59,88,99,9.98,overcast clouds,2022-08-10 22:44
241,Springdale,US,36.1867,-94.1288,57.99,71,90,10.36,overcast clouds,2022-08-10 22:44
242,Santa Maria,BR,-29.6842,-53.8069,84.2,54,0,4.61,clear sky,2022-08-10 22:43
243,Lingao,CN,19.9103,109.6859,72.73,90,52,13.67,broken clouds,2022-08-10 22:46
244,Ada,US,43.4166,-116.1262,61,20,1,18.41,clear sky,2022-08-10 22:46
245,Bagli,IN,22.65,76.35,82.9,16,70,2.13,broken clouds,2022-08-10 22:46
246,Nemuro,JP,43.3236,145.575,37.67,66,6,6.55,clear sky,2022-08-10 22:36
247,Punta Alta,AR,-38.8759,-62.0736,55.65,94,100,7.2,overcast clouds,2022-08-10 22:46
248,Ostrovnoy,RU,68.0531,39.5131,31.42,85,39,23.89,scattered clouds,2022-08-10 22:46
249,Dingle,PH,10.9995,122.6711,78.1,81,59,6.78,broken clouds,2022-08-10 22:46
250,Lorengau,PG,-2.0226,147.2712,81.66,83,100,15.5,overcast clouds,2022-08-10 22:46
251,Luganville,VU,-15.5333,167.1667,79.27,82,100,4.34,overcast clouds,2022-08-10 22:46
252,Bilma,NE,18.6853,12.9164,84.51,7,89,9.82,overcast clouds,2022-08-10 22:46
253,Sovetskiy,RU,61.3614,63.5842,33.67,98,100,5.12,light rain,2022-08-10 22:46
254,Kingsburg,US,36.5138,-119.554,75,33,1,6.91,clear sky,2022-08-10 22:46
255,Broken Hill,AU,-31.95,141.4333,51.8,71,23,11.5,few clouds,2022-08-10 22:36
256,Killybegs,IE,54.6333,-8.45,37.4,81,75,8.05,broken clouds,2022-08-10 22:46
257,Sinnamary,GF,5.3833,-52.95,78.26,84,76,7.14,moderate rain,2022-08-10 22:46
258,Beringovskiy,RU,63.05,179.3167,7.93,92,100,22.44,light snow,2022-08-10 22:46
259,Oksfjord,NO,70.2396,22.3479,33.8,55,75,12.66,light snow,2022-08-10 22:46
260,Padang,ID,-0.9492,100.3543,77,94,40,1.14,scattered clouds,2022-08-10 22:46
261,Suihua,CN,46.6406,126.9969,52.38,55,100,5.28,overcast clouds,2022-08-10 22:46
262,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.4,69,0,3.44,clear sky,2022-08-10 22:46
263,Diu,IN,20.7141,70.9822,78.35,49,0,11.43,clear sky,2022-08-10 22:46
264,Quepos,CR,9.4236,-84.1652,78.8,73,75,12.66,broken clouds,2022-08-10 22:46
265,Plettenberg Bay,ZA,-34.0527,23.3716,62.24,77,100,1.43,overcast clouds,2022-08-10 22:46
266,Whyalla,AU,-33.0333,137.5833,60.8,59,90,14.97,overcast clouds,2022-08-10 22:46
267,Novovoronezh,RU,51.3072,39.2173,37.4,65,0,6.71,clear sky,2022-08-10 22:46
268,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,8.05,mist,2022-08-10 22:36
269,Aguimes,ES,27.9054,-15.4461,66.2,63,20,13.8,few clouds,2022-08-10 22:46
270,Richards Bay,ZA,-28.783,32.0377,69.22,87,0,9.62,clear sky,2022-08-10 22:46
